15173,912
15172,556
15151,308
11881,601
11841,270
11812,15萬美返程經公訓正門
15515,668
15514,605
15512,675
10846,286副
10763,903經三總
10752,278經三總
10748,295經芳蘭路
15334,620
15734,市民小巴10
15702,內科圓山往內科(光華)
15698,南軟雙和(去)
15696,南軟北投(往南軟)
11251,棕13
11204,68
11203,26
10472,111
16174,棕20不經美堤
16706,1503(五股發車)
16705,1501(動物園發車)
16705,1501(五股發車)
11124,223不經大度立德路口
10741,棕3
10821,紅5往陽明山經文大
15693,內科專車市府直達線(上午)(東南)
17561,兒童新樂園2
16750,紅55區
10848,505
10442,508區(大)
10414,261
10277,542
10273,303區經陽明山
10261,紅33
10232,紅25
10181,205
11152,266
11143,小26
11137,小22
11126,216副
11125,302不經關渡宮
11111,藍27經三總
11094,612區
11062,小1區
11058,小3
11053,小12區
11021,棕5
10941,藍25
10893,274
810,285經吉林
15688,內科5往市政府
15687,內科3往土城
15686,內科20(內科-捷市政府)
15683,內科18(捷民權西-內科)
15681,內科16往內科
15679,內科13往內科
11071,小10經田寮橋，返程經貓空站、草楠
15657,280直
15572,207往南勢角
15355,240直
15341,紅19
15322,215
15314,203往天母
15183,905
15142,42
15113,208區
11854,市民小巴6(山豬)大都會
11764,251區
15562,214直
15561,214
15554,304重慶北
15546,280
15531,紅12
15517,605副
15513,711
10847,63
10844,652
10842,222
10831,藍5(繞市府半趟)
10767,53
16125,藍20區
16121,604
15735,602(北投)
15730,棕18
15725,花季專車130
15696,南軟北投(往北投)
15689,內科6(內科-蘆洲站)
15689,內科6(蘆洲站-內科)
11217,小巴1返繞溪山
11217,小巴1去繞溪山
11211,小18
11208,小16經350巷
11208,小16經陽
11202,紅7區
16160,小3區
16709,254區
10823,260往陽明山(半)
15678,內科12往新莊
11213,小19
16390,紅34
16439,278區
17390,950去程半
10712,251
15693,內科專車市府直達線(下午)(三重)
17512,311區
17561,兒童新樂園2
15185,202區
10824,260區
10824,260區經花鐘
11212,204往東園
10744,棕15
10461,645經三總
10442,508區(大)
10421,紅9
10331,647
11141,216區經中央北
11136,小21往北投
11136,小21
11093,612
11062,小1區經康寧
11041,297
10743,棕11
10742,棕6
10725,和平幹線
10502,299區(三重)
10481,265經中央路
810,285不經吉林
15682,內科17(內科-士林)
15677,內科11(內科-新莊)
15572,207
15571,忠孝新幹線半(南港發)
15361,藍7跑去程
15354,240
15335,683
15184,905副
11854,市民小巴6(山豬)大南
15553,304承德路
15532,重慶幹線(中)
15391,279(往天母)
15371,中山幹線
10811,685繞忠義街德行東路
10781,290
10747,294
16111,307莒光經板橋前站
15698,南軟雙和(返)
15698,南軟雙和(去)
15690,內科7(汐止車站-內科)
11232,211
11208,小16經296、350、500巷
11171,265經明德路
11157,218直
16158,292副
16707,757
11011,紅29不經三總
15708,信義新幹線
11114,551經延平宮
17022,紅57
11124,223不經關渡宮
17020,小30
10432,藍26
17436,紅3
16649,市民小巴15
17390,950返程半
15693,內科專車市府直達線(下午)(光華)
15693,內科專車市府直達線(下午)(大南)
15693,內科專車市府直達線(下午)(東南)
17580,花季專車124
10473,306(三重)
10442,508區(三重)
10441,508
10263,536
11145,小7經嶺腳
11138,小25經馬場
11136,小21往八仙里
11135,小14
11023,298
10932,263(板橋發車)假日
10932,263(南港發車)假日
10932,263(南港發車)
10882,9
10864,12
10856,281
10733,棕2
10724,907
10711,236
10282,663
15686,內科20(捷市政府-內科)
15679,內科13往天母
11071,小10經草楠，返程經貓空站、田寮橋
15571,忠孝新幹線
15571,忠孝新幹線半(北車發)
15359,681往東湖
15314,203往北峰
15314,203往北峰
15191,660
11841,270假日
11833,74
11742,611
11741,貓空右線
15541,紅15
15521,227
15391,279(往東湖)
15373,220
15372,206
10142,綠1調度站發車
16144,68副(往洲美)
10845,286
10831,藍5
10791,市民小巴5
10791,市民小巴5經仙岩
10762,646
10749,棕11副
10746,252
16111,307莒光經板橋前站
15735,602(天母)
15702,內科圓山往圓山(大都會)
15702,內科圓山往圓山(首都)
15691,內科8往松山車站
15690,內科7(內科-汐止車站)
16168,108區(二子坪)
11252,255
11217,市民小巴1
11214,小18區
11208,小16經陽第一
16184,680
16747,棕22
16174,棕20經美堤
16706,1503(動物園發車)
17021,紅56
10823,260往東園(半)
15678,內科12往內科
11061,小5區
16504,756
16440,藍50
15358,247區
11253,255區
16746,1717(北車發不繞劍潭)
17560,兒童新樂園1
11842,270區
10824,260區往陽明山
10283,235
16112,310
